pcap_filename,up_packets,down_packets,up_bytes,down_bytes,up_size_min,up_size_max,up_size_mean,up_size_std,down_size_min,down_size_max,down_size_mean,down_size_std,up_iat_min,up_iat_max,up_iat_mean,up_iat_std,down_iat_min,down_iat_max,down_iat_mean,down_iat_std,label
abc_net_au_v9.pcap,68,77,5712,865181,60.0,589.0,84.0,63.65301157331789,72.0,56544.0,11236.116883116883,14115.780010258968,1.6927719116210938e-05,0.12175607681274414,0.003069970145154355,0.014764287412782769,9.5367431640625e-07,0.12504911422729492,0.0026583828424152577,0.014332963849979544,abc_net_au
ndtv_com_v2.pcap,15,13,1907,5698,60.0,589.0,127.13333333333334,126.34495988716324,72.0,3406.0,438.3076923076923,868.6128981680534,1.4066696166992188e-05,0.09350705146789551,0.009316069739205497,0.02353334424148955,9.5367431640625e-07,0.09727001190185547,0.010529239972432455,0.026377427757343735,ndtv_com
express_co_uk_v10.pcap,15,12,1918,6781,72.0,589.0,127.86666666666666,125.4346399081565,72.0,2928.0,565.0833333333334,877.5388365891406,8.821487426757812e-06,0.05747485160827637,0.0054781436920166016,0.014497674931234127,9.5367431640625e-07,0.06121206283569336,0.006696809421886097,0.017324536723099363,express_co_uk
cnbc_com_v9.pcap,17,14,2038,5259,60.0,589.0,119.88235294117646,120.31521460335722,72.0,2756.0,375.64285714285717,678.9287367550711,9.059906005859375e-06,0.05992293357849121,0.005678489804267883,0.014204636895507767,9.5367431640625e-07,0.06366205215454102,0.006665614935067983,0.016715040661741253,cnbc_com
nypost_com_v2.pcap,152,145,10844,1581051,60.0,577.0,71.34210526315789,60.17464771103205,60.0,57000.0,10903.8,14308.071393014021,5.0067901611328125e-06,0.057943105697631836,0.0020539271120993507,0.006291953615351098,9.5367431640625e-07,0.07044816017150879,0.0020698755979537964,0.007523331509941079,nypost_com
cnbc_com_v7.pcap,17,16,2038,5403,60.0,589.0,119.88235294117646,120.31521460335722,72.0,2756.0,337.6875,642.9700341724722,1.2874603271484375e-05,0.061341047286987305,0.005719244480133057,0.014534116131214083,9.5367431640625e-07,0.06498193740844727,0.005830526351928711,0.016056758151867447,cnbc_com
nypost_com_v6.pcap,243,316,16304,1593381,60.0,577.0,67.09465020576131,47.90735327826694,60.0,16466.0,5042.344936708861,5698.339195477474,4.0531158447265625e-06,0.8195919990539551,0.008522747961942814,0.05511380448861227,9.5367431640625e-07,0.7619130611419678,0.006510726989261688,0.04554581662599606,nypost_com
rt_com_v1.pcap,150,145,11597,393572,60.0,589.0,77.31333333333333,43.081803841322866,72.0,2968.0,2714.289655172414,771.8529958057842,6.9141387939453125e-06,0.20000386238098145,0.012596034363612233,0.035832028936296924,9.5367431640625e-07,0.3061809539794922,0.011653951472706266,0.036862557925831874,rt_com
nypost_com_v7.pcap,274,351,18164,1595104,60.0,577.0,66.2919708029197,45.17187946782912,60.0,16466.0,4544.45584045584,4776.985007096155,3.0994415283203125e-06,0.6026041507720947,0.008005857467651367,0.04365696730329875,9.5367431640625e-07,0.5897998809814453,0.006209400040762765,0.038214716064177465,nypost_com
timesofindia_com_v1.pcap,147,145,12119,1309691,60.0,589.0,82.4421768707483,61.51092256877013,72.0,56076.0,9032.35172413793,11517.365968341195,4.0531158447265625e-06,0.3100581169128418,0.0069849801390138395,0.03594900612199313,9.5367431640625e-07,0.2876448631286621,0.007052145070499844,0.03733492435763099,timesofindia_com
abc_net_au_v4.pcap,72,72,6000,865540,60.0,589.0,83.33333333333333,61.92064814475593,72.0,56544.0,12021.388888888889,16825.20559520708,4.0531158447265625e-06,0.05832099914550781,0.0016742122005408918,0.006912797402493173,9.5367431640625e-07,0.06208205223083496,0.0016170555437114878,0.007371559372321865,abc_net_au
rt_com_v4.pcap,149,144,11525,393524,60.0,589.0,77.3489932885906,43.22392547982959,72.0,2968.0,2732.8055555555557,742.1830718841262,7.867813110351562e-06,0.20028400421142578,0.0119531960100741,0.034741981889083985,9.5367431640625e-07,0.2632930278778076,0.01097199299952367,0.03436319519459537,rt_com
washingtonpost_com_v6.pcap,16,14,1985,5355,60.0,589.0,124.0625,123.09572938875662,72.0,2968.0,382.5,741.5155089409797,4.0531158447265625e-06,0.05778694152832031,0.006635745366414388,0.01424489848997777,9.5367431640625e-07,0.061280012130737305,0.007363227697519155,0.016244644028880692,washingtonpost_com
washingtonpost_com_v7.pcap,17,14,2045,5355,60.0,589.0,120.29411764705883,120.36794800350462,72.0,2968.0,382.5,741.5155089409797,5.9604644775390625e-06,0.060307979583740234,0.005973130464553833,0.014405451099466171,9.5367431640625e-07,0.06430411338806152,0.007023077744704027,0.016971738013568317,washingtonpost_com
news18_com_v3.pcap,93,91,7512,1221668,60.0,589.0,80.7741935483871,54.68858641951436,72.0,56544.0,13424.923076923076,17049.92718248816,4.0531158447265625e-06,0.05787992477416992,0.0013187709061995797,0.006125725997310716,9.5367431640625e-07,0.06117701530456543,0.0013074106640285916,0.006542584438707208,news18_com
cnbc_com_v2.pcap,16,18,1966,5547,60.0,589.0,122.875,123.40273244543656,72.0,2757.0,308.1666666666667,612.1251914437112,8.106231689453125e-06,0.05949711799621582,0.006548531850179036,0.01462978768954403,9.5367431640625e-07,0.06310606002807617,0.005543652702780331,0.014721296137204486,cnbc_com
ndtv_com_v3.pcap,17,16,2039,5913,60.0,589.0,119.94117647058823,120.32136898286203,72.0,2968.0,369.5625,689.9683841262221,7.152557373046875e-06,0.06723809242248535,0.005944684147834778,0.015986598030688578,9.5367431640625e-07,0.07052803039550781,0.006107139587402344,0.017418549881960625,ndtv_com
timesofindia_com_v2.pcap,149,145,12251,1309630,60.0,589.0,82.22147651006712,61.12994692654932,72.0,56076.0,9031.931034482759,11856.935583434975,4.0531158447265625e-06,0.05824017524719238,0.0021327218493899782,0.006236378334244554,9.5367431640625e-07,0.07235002517700195,0.0021654731697506374,0.008150735412784757,timesofindia_com
indiatimes_com_v5.pcap,18,19,2114,8796,60.0,589.0,117.44444444444444,117.47019585231075,72.0,2944.0,462.94736842105266,732.1126224610249,7.867813110351562e-06,0.09263110160827637,0.009921003790462719,0.02143268350095611,1.9073486328125e-06,0.10648798942565918,0.008615109655592177,0.02430237572393403,indiatimes_com
cnbc_com_v10.pcap,15,16,1906,5404,60.0,589.0,127.06666666666666,126.34211051303872,72.0,2756.0,337.75,642.9870235860129,8.821487426757812e-06,0.06989693641662598,0.009191359792436873,0.01808768422973756,9.5367431640625e-07,0.07391214370727539,0.008296346664428711,0.01853722461596604,cnbc_com
ndtv_com_v7.pcap,17,15,2051,5841,60.0,589.0,120.6470588235294,120.00242212088428,72.0,2968.0,389.4,707.2985036979318,4.0531158447265625e-06,0.05881190299987793,0.005881935358047485,0.014009811786245947,9.5367431640625e-07,0.06217598915100098,0.006451794079371861,0.015872017717823848,ndtv_com
news18_com_v1.pcap,127,188,9960,1229557,60.0,589.0,78.4251968503937,46.95994602289339,72.0,34824.0,6540.196808510638,7395.362736100269,5.9604644775390625e-06,0.5870189666748047,0.00759951462821355,0.052747797212782006,9.5367431640625e-07,0.5425739288330078,0.0050992991197555465,0.04037893905201543,news18_com
nypost_com_v10.pcap,155,149,11024,1581793,60.0,577.0,71.12258064516129,59.60995105104526,60.0,57000.0,10616.060402684563,12841.830610387357,3.0994415283203125e-06,0.06017804145812988,0.0020679808282232904,0.006440611876882228,9.5367431640625e-07,0.07259106636047363,0.002069938827205349,0.00763944681911095,nypost_com
indiatimes_com_v1.pcap,19,15,2186,8508,60.0,589.0,115.05263157894737,114.78651749372811,72.0,2968.0,567.2,774.0006201547902,6.9141387939453125e-06,0.09556007385253906,0.009720550643073188,0.021717977070176135,9.5367431640625e-07,0.10936188697814941,0.01149092401776995,0.027795936997877423,indiatimes_com
washingtonpost_com_v3.pcap,17,15,2045,5427,60.0,589.0,120.29411764705883,120.36794800350462,72.0,2968.0,361.8,720.5468478870753,3.0994415283203125e-06,0.05895805358886719,0.005799874663352966,0.014081195674185814,1.1920928955078125e-06,0.06259512901306152,0.006347724369594029,0.016003667393895395,washingtonpost_com
rt_com_v2.pcap,148,143,11465,393472,60.0,589.0,77.46621621621621,43.34609548495791,72.0,2968.0,2751.5524475524476,730.274071343921,6.9141387939453125e-06,0.20868897438049316,0.012512855789288372,0.035712596395999954,9.5367431640625e-07,0.26434803009033203,0.011502767952395156,0.03504158480189977,rt_com
express_co_uk_v6.pcap,14,13,1846,6875,72.0,589.0,131.85714285714286,128.91406724905502,72.0,2928.0,528.8461538461538,852.3732340808895,1.5974044799804688e-05,0.07171392440795898,0.007376542458167443,0.01867824186607253,1.9073486328125e-06,0.07541894912719727,0.0077632466952006025,0.020572832655947244,express_co_uk
ndtv_com_v1.pcap,17,15,2051,5844,60.0,589.0,120.6470588235294,120.00242212088428,72.0,2968.0,389.6,707.3067981199295,6.198883056640625e-06,0.05791902542114258,0.008004441857337952,0.016808791950507135,9.5367431640625e-07,0.0616610050201416,0.00884042467389788,0.018615061805222294,ndtv_com
cnbc_com_v4.pcap,16,17,1966,5474,60.0,589.0,122.875,123.40273244543656,72.0,2755.0,322.0,626.6689716269667,7.867813110351562e-06,0.06031203269958496,0.006690470377604166,0.014910947158682433,9.5367431640625e-07,0.06366705894470215,0.0060455650091171265,0.015334521006769035,cnbc_com
express_co_uk_v2.pcap,15,14,1918,6922,72.0,589.0,127.86666666666666,125.4346399081565,72.0,2928.0,494.42857142857144,830.3455145115121,9.059906005859375e-06,0.058535099029541016,0.0056563615798950195,0.014742919309493693,9.5367431640625e-07,0.06222200393676758,0.0058343777289757365,0.01635674623833649,express_co_uk
express_co_uk_v7.pcap,15,11,1918,6708,72.0,589.0,127.86666666666666,125.4346399081565,72.0,2928.0,609.8181818181819,903.2366868084436,1.1920928955078125e-05,0.09178400039672852,0.008309858185904366,0.02322145942639658,3.1948089599609375e-05,0.09577584266662598,0.011313796043395996,0.028226442018821487,express_co_uk
rt_com_v8.pcap,148,143,11465,393472,60.0,589.0,77.46621621621621,43.34609548495791,72.0,2968.0,2751.5524475524476,730.1555220705335,4.0531158447265625e-06,0.2056260108947754,0.01268995862428834,0.035288414339453095,9.5367431640625e-07,0.29089784622192383,0.011697456870280521,0.035786614494439914,rt_com
express_co_uk_v3.pcap,16,13,1990,6875,72.0,589.0,124.375,122.2021250838135,72.0,2928.0,528.8461538461538,852.3732340808895,1.5974044799804688e-05,0.09835219383239746,0.007919740676879884,0.024212529504686952,2.2172927856445312e-05,0.10213899612426758,0.009688079357147217,0.027935884982239405,express_co_uk
timesofindia_com_v9.pcap,146,146,12035,1309718,60.0,589.0,82.43150684931507,61.73705926565098,72.0,56076.0,8970.671232876712,10900.185909630849,5.0067901611328125e-06,0.3205111026763916,0.00553724847990891,0.031080168943121766,9.5367431640625e-07,0.2660191059112549,0.005512614085756499,0.03054853269414122,timesofindia_com
express_co_uk_v5.pcap,16,14,1990,6926,72.0,589.0,124.375,122.2021250838135,72.0,2928.0,494.7142857142857,817.2659497697559,6.198883056640625e-06,0.09846377372741699,0.008217859268188476,0.024187931641025017,0.0,0.10260295867919922,0.009222929294292744,0.02702972652745891,express_co_uk
ndtv_com_v4.pcap,16,14,1967,5769,60.0,589.0,122.9375,123.40759131329807,72.0,3405.0,412.07142857142856,842.0620493158207,2.7179718017578125e-05,0.09303712844848633,0.008258533477783204,0.02277944453125236,9.5367431640625e-07,0.09656500816345215,0.009217464006864108,0.02539859116980868,ndtv_com
timesofindia_com_v5.pcap,149,142,12263,1309431,60.0,589.0,82.30201342281879,61.10851879870458,72.0,55096.0,9221.345070422536,10575.596921884166,6.9141387939453125e-06,0.05836606025695801,0.002525295760180499,0.007994593474261328,9.5367431640625e-07,0.07164692878723145,0.0026235664989931362,0.009805238859038456,timesofindia_com
washingtonpost_com_v1.pcap,17,13,2045,5284,60.0,589.0,120.29411764705883,120.36794800350462,72.0,2968.0,406.46153846153845,764.3353689402433,7.867813110351562e-06,0.058487892150878906,0.0059913694858551025,0.01399858342490529,9.5367431640625e-07,0.06203508377075195,0.007655998071034749,0.01695561506901906,washingtonpost_com
indiatimes_com_v9.pcap,19,16,2186,8580,60.0,589.0,115.05263157894737,114.78651749372811,72.0,2968.0,536.25,757.4998762376136,4.0531158447265625e-06,0.06952095031738281,0.008220394452412924,0.015976831357244932,9.5367431640625e-07,0.08327794075012207,0.00893106460571289,0.020603145708106185,indiatimes_com
ndtv_com_v8.pcap,17,19,2039,6130,60.0,589.0,119.94117647058823,120.32136898286203,72.0,2968.0,322.63157894736844,641.6386268171694,6.9141387939453125e-06,0.05973100662231445,0.005375489592552185,0.01417195845724226,9.5367431640625e-07,0.0630950927734375,0.0045745107862684466,0.014355053190546993,ndtv_com
abc_net_au_v5.pcap,76,79,6288,866045,60.0,589.0,82.73684210526316,60.3222417785148,72.0,56544.0,10962.594936708861,15573.148648339087,2.86102294921875e-06,0.05751609802246094,0.001592718760172526,0.006636487519699398,0.0,0.060951948165893555,0.001483614628131573,0.006906468794732909,abc_net_au
nypost_com_v1.pcap,258,315,17204,1592786,60.0,577.0,66.68217054263566,46.52347652698541,60.0,16120.0,5056.463492063492,4811.103430947036,4.0531158447265625e-06,0.7454450130462646,0.01008021414048013,0.058462536494778033,9.5367431640625e-07,0.6919240951538086,0.008211646110388883,0.049238907248349874,nypost_com
express_co_uk_v4.pcap,15,12,1918,6779,72.0,589.0,127.86666666666666,125.4346399081565,72.0,2928.0,564.9166666666666,877.392012190421,9.059906005859375e-06,0.058013916015625,0.005599498748779297,0.01462036656095433,1.9073486328125e-06,0.061868906021118164,0.006816994060169567,0.01749573260296006,express_co_uk
washingtonpost_com_v4.pcap,16,17,1985,5570,60.0,589.0,124.0625,123.09572938875662,72.0,2968.0,327.6470588235294,683.2088597352653,5.0067901611328125e-06,0.058563947677612305,0.007932408650716146,0.015023245150737895,9.5367431640625e-07,0.06250786781311035,0.007165685296058655,0.015601202854269502,washingtonpost_com
abc_net_au_v8.pcap,71,71,5940,864780,60.0,589.0,83.66197183098592,62.29279877490233,72.0,56544.0,12180.0,15650.958348913866,5.9604644775390625e-06,0.09044194221496582,0.0022993564605712892,0.01073262698687556,1.9073486328125e-06,0.09413909912109375,0.0022409030369349887,0.011197650239371604,abc_net_au
news18_com_v6.pcap,93,92,7512,1221740,60.0,589.0,80.7741935483871,54.68858641951436,72.0,56544.0,13279.782608695652,16391.387822789406,4.0531158447265625e-06,0.05803990364074707,0.0013075341349062712,0.006073979512503902,9.5367431640625e-07,0.06152796745300293,0.0012806378878079928,0.0064788959929130635,news18_com
abc_net_au_v2.pcap,70,74,5856,865685,60.0,589.0,83.65714285714286,62.76893811302478,72.0,56544.0,11698.445945945947,16656.900906670657,5.9604644775390625e-06,0.05738210678100586,0.0017075953276261039,0.006874464584126755,9.5367431640625e-07,0.06084799766540527,0.0015631211947088372,0.007106729514108077,abc_net_au
indiatimes_com_v6.pcap,19,16,2186,8580,60.0,589.0,115.05263157894737,114.78651749372811,72.0,2968.0,536.25,757.4998762376136,4.0531158447265625e-06,0.06135296821594238,0.007784167925516765,0.01428557546261883,1.1920928955078125e-06,0.07512998580932617,0.008420070012410482,0.01869125460707752,indiatimes_com
indiatimes_com_v10.pcap,19,19,2198,8796,60.0,589.0,115.6842105263158,114.51456015518126,72.0,2944.0,462.94736842105266,711.3786817222347,8.106231689453125e-06,0.057832956314086914,0.008024387889438205,0.014021685402002484,9.5367431640625e-07,0.07202386856079102,0.0072610510720147025,0.01653193578023488,indiatimes_com
